# Pathway	SAMN08335126	SAMN08335128	SAMN08335135	SAMN08335136	SAMN08335138	SAMN08335140	SAMN08335141	SAMN08335033	SAMN08335037	SAMN08335038	SAMN08335039	SAMN08335042	SAMN08335047	SAMN08335049	SAMN08335050	SAMN08335053	SAMN08335057	SAMN08335058	SAMN08335060	SAMN08335062	SAMN08335063	SAMN08335065	SAMN08335066	SAMN08335067	SAMN08335068	SAMN08335069	SAMN08335071	SAMN08335072	SAMN08335074	SAMN08335078	SAMN08335079	SAMN08335919	SAMN08335922	SAMN08335923	SAMN08335924	SAMN08335925	SAMN08335930	SAMN08335931	SAMN08335932	SAMN08335934	SAMN08335935	SAMN08335936	SAMN08335937	SAMN08335941	SAMN08335942	SAMN08335943	SAMN08335127	SAMN08335129	SAMN08335130	SAMN08335131	SAMN08335132	SAMN08335133	SAMN08335134	SAMN08335137	SAMN08335139	SAMN08335142	SAMN08335143	SAMN08335144	SAMN08335034	SAMN08335035	SAMN08335036	SAMN08335040	SAMN08335041	SAMN08335043	SAMN08335044	SAMN08335045	SAMN08335046	SAMN08335048	SAMN08335051	SAMN08335052	SAMN08335054	SAMN08335055	SAMN08335056	SAMN08335059	SAMN08335061	SAMN08335064	SAMN08335070	SAMN08335073	SAMN08335075	SAMN08335076	SAMN08335077	SAMN08335080	SAMN08335081	SAMN08335082	SAMN08335083	SAMN08335920	SAMN08335921	SAMN08335926	SAMN08335928	SAMN08335929	SAMN08335933	SAMN08335938	SAMN08335939	SAMN08335940	SAMN08335944	SAMN08329222	SAMN08329225	SAMN08329227	SAMN08329229	SAMN08330723	SAMN08330730	SAMN08330739	SAMN08330746	SAMN08330748	SAMN08330749	SAMN08330751	SAMN08330752	SAMN08335119	SAMN08335022	SAMN08335024	SAMN08335025	SAMN08335028	SAMN08335031	SAMN08335032	SAMN08335084	SAMN08335085	SAMN08335086	SAMN08335089	SAMN08335091	SAMN08335096	SAMN08335097	SAMN08335099	SAMN08335102	SAMN08335108	SAMN08335113	SAMN08329223	SAMN08329224	SAMN08329226	SAMN08329228	SAMN08329230	SAMN08330722	SAMN08330724	SAMN08330725	SAMN08330726	SAMN08330727	SAMN08330728	SAMN08330729	SAMN08330731	SAMN08330732	SAMN08330733	SAMN08330734	SAMN08330735	SAMN08330736	SAMN08330737	SAMN08330738	SAMN08330740	SAMN08330741	SAMN08330742	SAMN08330743	SAMN08330744	SAMN08330745	SAMN08330747	SAMN08330750	SAMN08335115	SAMN08335116	SAMN08335117	SAMN08335118	SAMN08335120	SAMN08335121	SAMN08335122	SAMN08335123	SAMN08335124	SAMN08335125	SAMN08335145	SAMN08335146	SAMN08335147	SAMN08335148	SAMN08335149	SAMN08335023	SAMN08335026	SAMN08335027	SAMN08335029	SAMN08335030	SAMN08335087	SAMN08335088	SAMN08335090	SAMN08335092	SAMN08335093	SAMN08335094	SAMN08335095	SAMN08335098	SAMN08335100	SAMN08335101	SAMN08335103	SAMN08335104	SAMN08335105	SAMN08335106	SAMN08335107	SAMN08335109	SAMN08335110	SAMN08335111	SAMN08335112	SAMN08335114
PWY-6185: 4-methylcatechol degradation (ortho cleavage)	0.0	0.0	0.0	4.17765e-05	0.0	0.0	0.0	5.42057e-05	4.6638e-05	0.0	0.0	1.64544e-05	0.0	0.0	1.19166e-05	3.62861e-05	0.0	0.0	0.00011128	5.35388e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.000205	0.0	0.0	5.47402e-05	0.0	0.0	1.46368e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.20484e-06	9.99236e-05	0.0	0.0	0.0	0.0	2.70592e-05	1.48769e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.90866e-05	0.0	1.76038e-05	0.0	0.0	5.38109e-05	0.000109065	0.0	0.0	0.0	5.16413e-05	0.0	0.0	0.0	8.87656e-06	0.0	1.19638e-05	0.0	0.000415986	6.05435e-05	0.0	0.0	3.43083e-05	1.40956e-05	0.0	0.0	1.85302e-05	0.0	0.0	0.0	0.0	0.0	0.000198315	0.0	0.0	0.0	0.0	0.000150844	0.0	0.0	0.0	0.0	0.0	5.65357e-06	0.0	0.0	0.0	0.00060311	0.0	0.0	6.66721e-05	2.57056e-05	0.0	8.92454e-05	2.27548e-05	0.000162127	0.0	0.000445655	0.0	3.49379e-05	0.0	0.0	3.29135e-05	0.000160321	0.000251376	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.15447e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.000517367	0.0	0.0	0.0	0.0	0.0	0.0	3.60258e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.87803e-05	0.000445484	0.0	0.000238865	0.0	0.000285214	0.0	3.37857e-06	3.32688e-05	1.68261e-05	0.000524219	0.0	0.0	0.0	0.0	1.25984e-05	0.000112946	0.0	0.0	0.0	0.000538723	0.0	0.0	0.000181696	0.0
PWY-6210: 2-aminophenol degradation	5.86347e-06	0.0	0.0	2.52258e-05	0.0	0.0	8.05494e-06	3.92169e-06	4.52047e-07	6.92889e-06	1.20967e-05	0.0	0.0	0.0	2.66738e-06	8.63229e-06	0.0	0.0	2.38997e-05	0.0	0.0	0.0	2.8003e-06	7.55853e-06	0.0	0.0	0.0	0.0	0.0	1.22703e-05	2.59297e-06	0.0	0.0	0.0	1.90806e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.42147e-05	0.0	0.0	0.0	2.78253e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.23146e-06	5.88059e-06	0.0	8.16824e-06	0.0	0.0	1.10046e-06	2.22849e-05	0.0	0.0	0.0	0.0	0.0	9.50105e-05	2.87583e-06	6.52234e-07	0.0	0.0	0.0	4.00135e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.77195e-06	0.0	0.0	0.0	0.0	0.0	9.93882e-06	0.0	0.0	0.0	0.0	1.25885e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.86354e-06	8.14472e-06	0.0	0.0	1.34882e-05	0.0	1.97453e-05	0.0	7.76645e-05	0.0	0.0	0.0	0.0	0.0	3.23437e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.31838e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.16454e-05	0.0	0.0	0.0	0.0	0.0	6.5269e-06	4.22487e-05	0.0	0.0	0.0	0.0	0.0	0.0	7.27812e-06	0.0	0.0	6.22763e-07	0.0	0.0	0.0	0.0	1.50685e-06	3.68338e-05	2.71671e-06	0.0	2.1188e-06	1.9453e-05	4.22971e-06	0.0	0.0	0.0	3.58107e-05	0.0	0.0	1.73271e-06	0.0	2.14758e-06	7.35649e-07	5.13278e-06	0.0	0.0	0.0	0.0	4.03173e-06	4.97673e-05	0.0
PWY-6215: 4-chlorobenzoate degradation	0.0	0.0	0.0	5.84998e-06	0.0	0.0	0.0	2.19852e-06	3.05669e-05	0.0	0.0	0.0	0.0	0.0	7.48146e-06	2.65111e-06	0.0	0.0	0.000110022	0.0	0.0	6.61601e-06	0.0	0.0	0.0	0.0	3.63775e-06	0.0	0.0	2.12974e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.37422e-05	0.0	0.0	0.0	0.0	3.7247e-05	7.45867e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.36255e-05	0.0	2.21968e-05	0.0	4.11969e-05	6.47672e-05	4.39911e-05	0.0	0.0	0.0	0.0	0.0	4.36115e-05	8.82864e-06	1.09039e-05	0.0	4.94331e-06	0.0	8.38251e-05	0.0	0.0	0.0	5.15223e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000145683	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1409e-06	0.0	4.37391e-06	2.39122e-05	0.0	0.0	0.0	3.01373e-05	3.28602e-05	0.0	0.0	0.0	2.92644e-05	1.46643e-05	0.0	2.02045e-05	5.45109e-06	4.40629e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.10253e-05	0.0	0.0	0.0	0.0	0.0	0.0	4.52162e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.61466e-06	9.48319e-06	1.49118e-05	1.6703e-05	1.06927e-05	0.0	7.75537e-05	1.38949e-05	1.20277e-05	4.20636e-05	6.91941e-06	5.89688e-05	0.0	0.0	0.0	0.0	1.05555e-05	2.15254e-05	0.0	0.0	0.0	7.94033e-05	4.68934e-06	0.0	0.000104832	0.0
PWY-621: sucrose degradation III (sucrose invertase)	0.00302762	0.00233963	0.0023949	0.00294216	0.0025916	0.00114317	0.0018843	0.00335594	0.00224663	0.00090579	0.0021938	0.00339744	0.00325525	0.0015738	0.00276943	0.00313055	0.00224258	0.00346105	0.00345382	0.00278024	0.00197689	0.00225142	0.0016057	0.00093976	0.00420679	0.00355766	0.00387167	0.00173577	0.00159056	0.00234672	0.000744206	0.00166407	0.00287831	0.00665565	0.00212078	0.0028446	0.00111665	0.00213855	0.00371407	0.00233516	0.00261338	0.00221532	0.0022683	0.0013687	0.00281604	0.0042187	0.000782137	0.00262409	0.00149106	0.00179455	0.0022738	0.0010401	0.00169479	0.00121762	0.00347187	0.00455064	0.0011162	0.00164423	0.000768735	0.000340618	0.0015367	0.000226655	0.00135127	0.00360669	0.00153419	0.00154693	0.00313269	0.00337508	0.00297961	0.00341561	0.0028523	0.00389118	0.0023089	0.00199513	0.00259147	0.00248654	0.00214374	0.00201068	0.00229613	0.00260738	0.00096273	0.00156604	0.00177296	0.00140505	0.00254038	0.00101095	0.000905301	0.00131579	0.00198777	0.00193151	0.00140843	0.00179914	0.00300123	0.00205308	0.00134487	0.00353689	0.0046209	0.00251034	0.00364028	0.000962242	0.0013853	0.00202733	0.00309694	0.00193882	0.00446023	0.00130472	0.00353452	0.00295802	0.00133551	0.002653	0.00199857	0.00151643	0.00155465	0.00298931	0.00159484	0.00457284	0.00234483	0.0030964	0.00369862	0.00309285	0.00241933	0.00321726	0.00216901	0.0023801	0.00286288	0.00203325	0.00163405	0.00493221	0.00167345	0.00264726	0.0047016	0.0018394	0.000950149	0.00195627	0.00158477	0.000102349	0.00295858	0.00045062	0.000745425	0.00143878	0.00260008	0.00314324	0.00256016	0.0017885	0.00197435	0.000446191	0.00261889	0.00377296	0.00526165	0.000959096	0.00480918	0.00360983	0.00305399	0.00350585	0.00166297	0.00436815	0.001022	0.00128446	0.00159508	0.00270111	0.00138333	0.00238181	0.00208847	0.00303115	0.00175776	0.00326257	0.00334785	0.00316822	0.00216634	0.00318074	0.00218665	0.00251549	0.00405377	0.00282534	0.001869	0.00214384	0.00266543	0.0056373	0.00243556	0.00320596	0.00273919	0.00441313	0.00234344	0.00247911	0.00305402	0.00141407	0.0012405	0.00281111	0.00274887	0.00257095	0.00404244	0.00163734	0.00186479
PWY-622: starch biosynthesis	0.0	0.00028532	0.0	6.56854e-05	0.000154292	9.70717e-05	0.0	0.000198406	0.00126841	0.00011121	0.0	0.00022328	0.000316278	0.0	7.7459e-05	0.000134975	0.000187147	0.000392526	0.0	9.30393e-05	6.08781e-05	0.000186939	0.000175232	0.0	0.000589815	0.00186568	0.0	0.000231431	0.0	0.000712276	0.0	0.0	0.000365005	0.000685007	0.000319232	0.000205194	0.000423107	0.000175085	0.000265029	0.0040531	0.0	0.000218335	0.0	0.0	0.0	0.00052144	0.0	0.0	0.00021363	0.0	0.0	0.000413976	0.000228827	7.32611e-05	9.9732e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000171392	0.0	0.0	0.0	0.00153035	0.00040888	0.0	6.80555e-05	8.2927e-05	0.0	0.0	0.000281556	0.0	0.00108642	0.000315665	0.0	0.0	0.0	0.0	0.000140678	0.0	0.0	0.0	0.0	0.0	0.0	6.42419e-05	0.000381978	4.49951e-05	0.000302223	0.00220576	5.43298e-05	0.0	0.0	0.000779811	0.000218542	0.00017255	0.000197641	0.0	0.00121142	0.0	0.00137038	0.0	0.0	0.000942927	7.94094e-05	0.0	0.00054817	0.000379599	0.0	0.0	0.0012672199999999	0.0	0.000764504	0.0	0.0	7.4442e-05	0.0	0.000398847	0.000945839	0.0	0.0	0.0	0.00314286	0.0	0.0	0.0	0.0	0.000107988	0.0	0.0	0.0	0.0	0.0013990299999999	0.0	0.00150412	0.00040436	0.0	0.0	0.00028032	0.0	0.0	0.000516711	0.000313525	0.0	0.00023625	0.000105683	0.000312583	0.0	0.000116986	0.0	0.000123582	0.000107315	0.0	0.0	0.0	0.0	0.0	0.00042219	0.000205184	0.0	8.37801e-05	0.0	0.0	0.0	0.0	0.0	0.0	6.98799e-05	0.0	0.0	0.000155573	0.0	0.000113831	0.0	0.0	0.0	0.00113314	0.000771252	0.0	0.0	0.0	0.0	3.98394e-05	0.00225122	0.00160468	0.000150491	0.0
PWY-6270: isoprene biosynthesis I	0.00612305	0.00314095	0.0056945	0.00636753	0.00741173	0.00387568	0.00439675	0.00499672	0.0043113	0.00251416	0.0050137	0.00586508	0.00563909	0.00422747	0.00505917	0.00585772	0.00566171	0.00574753	0.00471316	0.00390219	0.0062743	0.0059224	0.00658256	0.00601599	0.00580201	0.00546749	0.00602715	0.00769735	0.00306187	0.00698441	0.00401719	0.00449461	0.00304194	0.00867884	0.00611836	0.00380446	0.00411193	0.00506589	0.0061566	0.00448923	0.00492713	0.00487762	0.00356007	0.0053257	0.00568394	0.00554472	0.00290064	0.00667104	0.00334685	0.00435385	0.00466017	0.00379964	0.00277643	0.00353061	0.0068087	0.00647111	0.00308024	0.00465871	0.00428899	0.00183132	0.00507411	0.00364823	0.00415791	0.00763215	0.00453508	0.00452239	0.00544006	0.00686114	0.00534428	0.00635101	0.00503484	0.00603479	0.00456519	0.00644929	0.00368253	0.00687187	0.00703274	0.00412863	0.00352256	0.00371894	0.00423997	0.00443586	0.00454331	0.00362451	0.0053369	0.00475961	0.00307995	0.00588538	0.00403844	0.00217383	0.00393778	0.0055835	0.00572889	0.00475071	0.00808669	0.00673983	0.00536683	0.00428096	0.00649926	0.00670595	0.00573489	0.00580536	0.00551417	0.0067527	0.00767549	0.00455599	0.00619399	0.00466504	0.0054314	0.00460995	0.00629469	0.00536256	0.00576019	0.00529453	0.0043008	0.00694118	0.00689906	0.00525352	0.00798387	0.00543123	0.00569722	0.00844869	0.00499761	0.00540329	0.00430894	0.00233251	0.00563389	0.00786443	0.00456264	0.00569986	0.00731133	0.00647852	0.00370592	0.0069926	0.00339877	0.00131068	0.00909019	0.00307781	0.00737526	0.00585526	0.00451714	0.00607387	0.00564048	0.00644781	0.00347351	0.00262106	0.00585852	0.00697246	0.00834282	0.00493946	0.00387341	0.00665559	0.00521635	0.0047247	0.00503713	0.00682776	0.00537775	0.00427725	0.00550344	0.00447999	0.00465327	0.0059939	0.00500172	0.00566837	0.0050687	0.00685555	0.00591381	0.0069192	0.00579162	0.00564903	0.00590699	0.00566328	0.00617788	0.00458356	0.00402336	0.0054887	0.00430052	0.0087752	0.00360857	0.00602161	0.00455333	0.00636884	0.007202	0.00553214	0.00377894	0.00631927	0.00461126	0.00617198	0.00391577	0.00652476	0.00698077	0.0041602	0.00459009
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis	0.0103687	0.0123298	0.00994888	0.00953923	0.0130197	0.0143166	0.0129299	0.0119859	0.00542774	0.0135105	0.0108739	0.00940756	0.0100247	0.00984111	0.00823029	0.00903871	0.00950783	0.00936288	0.00736701	0.00969058	0.00827152	0.00964676	0.00900736	0.0124411	0.00956115	0.00717334	0.00802508	0.0113195	0.0139589	0.00777078	0.0132769	0.01157	0.0108181	0.00921288	0.0112447	0.0110116	0.014126	0.0103361	0.0103655	0.0119183999999999	0.00895205	0.0104494	0.0135078	0.0109324	0.0101027	0.00990505	0.0159956	0.0105396	0.0122561	0.0130386	0.0101679	0.0126941	0.0129057	0.0126962	0.0084101	0.00990457	0.0132432	0.0103293	0.0116072	0.0178211	0.0118199	0.016505	0.0112517	0.00843751	0.0120007	0.0115561	0.0101499	0.0062948	0.00945063	0.00870225	0.00903933	0.00933088	0.00982622	0.00754139	0.00550656	0.00974532	0.00937215	0.0113173	0.005752	0.011243	0.00971884	0.0120851	0.010458	0.0141948	0.0105407	0.0128269	0.015546	0.0115435	0.00995988	0.011415	0.0121587	0.0104598	0.00839714	0.00662963	0.0100812	0.00913282	0.00692565	0.00813337	0.0100314	0.012614	0.0100617	0.012933	0.00964832	0.0106984	0.00908854	0.0108157	0.00963388	0.00840126	0.011805	0.00731974	0.00957471	0.0109622	0.0102743	0.0089561	0.00905086	0.00727141	0.00850165	0.00749825	0.00987038	0.00999745	0.00656277	0.00950786	0.00821934	0.00925883	0.00786776	0.0121583	0.00931402	0.0104451	0.0124526	0.00930525	0.00985499	0.0096958	0.0115468	0.00984508	0.0161903	0.0230501	0.00951727	0.0171702	0.0101023	0.0126093	0.00662794	0.010748	0.0115203	0.00984926	0.0105276	0.0175002	0.00962982	0.00994975	0.00865306	0.0094377	0.010676	0.0106892	0.00943893	0.0057402	0.00909821	0.00634865	0.0110545	0.0111521	0.00961577	0.0108087	0.0129276	0.00982423	0.00773766	0.00812655	0.0105284	0.00936942	0.00663151	0.00849935	0.00927368	0.00725807	0.00667314	0.00925448	0.00913686	0.00826552	0.0124681	0.00534633	0.0051382	0.00885436	0.00563487	0.00860268	0.00971706	0.00891509	0.01195	0.00742151	0.00623869	0.0101542	0.011536	0.00885008	0.00573934	0.0110931	0.00700633	0.0100012	0.00771428
PWY-6281: L-selenocysteine biosynthesis II (archaea and eukaryotes)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.21925e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.73647e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.13901e-05	0.0	0.0	0.0	0.0	0.0	1.66713e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-6282: palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)	0.00260851	0.00320125	0.00370594	0.00199297	0.00175283	0.000638984	0.000906315	0.00307401	0.00560653	0.00185124	0.00201169	0.00310106	0.00159871	0.00311063	0.00351054	0.00322728	0.00189197	0.00249346	0.00453484	0.00203297	0.00146203	0.00200073	0.000645866	0.00124875	0.0027183	0.00323629	0.00226832	0.00150726	0.000192013	0.000947377	0.000632999	0.0025671	0.00130015	0.000583608	0.00114088	0.00183481	0.000232221	0.000634932	0.00102826	0.00175072	0.000869277	0.00252742	0.000331277	0.000895113	0.00221602	0.00158744	0.000495218	0.00236253	0.000615995	0.00200874	0.00336786	0.000965296	0.00128284	0.000939541	0.00256273	0.00409926	0.000543445	0.00142348	8.91184e-05	0.000265369	0.00188081	0.000998595	0.00129934	0.00182091	0.00215282	0.00227635	0.00149478	0.00309474	0.00268358	0.00365626	0.00124351	0.00187886	0.00250744	0.00143424	0.00474019	0.00164229	0.00139527	0.00199852	0.00521527	0.00203311	0.000976727	0.000771495	0.00118689	0.000426839	0.000968091	0.00135125	0.00175328	0.00142264	0.00370174	0.00137405	0.002174	0.000511743	0.00283172	0.0042327	0.000921602	0.00321741	0.00690348	0.00393244	0.00204291	0.00109906	0.000518868	0.000257871	0.00186429	0.00110803	0.00476238	0.000765932	0.00326574	0.00324042	0.00112074	0.00441226	0.00221742	0.00277934	0.00208486	0.00401751	0.00368307	0.00323444	0.00144371	0.00324547	0.0011785	0.00327895	0.00329436	0.000970281	0.00361981	0.00238264	0.00391413	0.00262665	0.00300283	0.0017826299999999	0.00234772	0.0035616	0.00364193	0.000408784	0.00066947	0.00130763	0.00233447	0.000192352	0.00307846	0.000892376	0.000762758	0.00069754	0.00430219	0.00449984	0.00403566	0.00323923	0.00189044	0.000272934	0.00298034	0.00415111	0.0024636	0.00313157	0.00130046	0.000356889	0.00240526	0.00558729	0.000792359	0.00273828	0.00119986	0.000374458	0.00471631	0.00206794	0.00203155	0.00302274	0.00486638	0.00574792	0.0015611	0.00339127	0.00413986	0.00351649	0.00341158	0.00403728	0.00365084	0.00242732	0.00288314	0.00330878	0.00066954	0.00432243	0.00498594	0.00152858	0.00500076	0.00478922	0.000884839	0.002962	0.000929352	0.00336182	0.0048795	0.00121978	0.000536147	0.00176328	0.00544448	0.00247191	0.00198465	0.00207065	0.00387421
PWY-6284: superpathway of unsaturated fatty acids biosynthesis (E. coli)	0.000526596	0.000156012	0.000486486	0.000427866	0.000547037	0.000168613	0.000725902	0.000423304	0.00270456	0.000834377	0.000320783	0.00069729	0.000364086	0.00106379	0.00173136	0.000289826	0.00100884	0.0	0.00165889	0.000146795	0.00038162	0.0005118189999999	0.000422673	0.00118571	0.00015831	0.000741695	0.00025328	0.000525372	0.000137076	0.000335725	0.000153895	0.000265803	0.000497303	0.000496698	0.000160314	8.6555e-05	0.0	0.000222215	8.89246e-05	0.000267072	0.000353433	0.0	0.000133519	0.000132301	0.000384266	0.000190313	0.0	0.000630862	0.000154001	0.000518475	0.000562847	2.75023e-05	0.000143787	0.0	0.000514739	0.000285982	0.000244017	0.00040006	3.38348e-05	0.0	0.000904088	0.000209863	0.000649745	0.00032146	0.000877482	0.000909428	0.000690622	0.00151019	0.00114599	0.000223578	0.000371098	0.000239228	0.000923972	0.000547179	0.00274417	0.000443037	0.000677436	0.00076993	0.00228773	0.0	0.000419477	0.000336094	0.000330189	0.0	0.000210771	0.000385918	0.00029974	0.000334414	0.00113393	0.0	0.00029905	0.000475593	0.000147578	0.00248065	0.000977166	0.000186379	0.00104024	0.00186398	7.91103e-05	0.000347298	0.0	0.000265032	0.000978609	0.000396765	0.000383575	0.0	0.000752516	0.000206543	0.000327107	0.00240623	0.000581466	0.000256861	0.000329233	0.000149499	0.00130691	0.000988784	0.000653305	0.0003597	0.0	0.00111428	0.00144067	0.00027449	0.00185706	0.000233133	0.000910195	0.000229493	0.000437795	0.0	0.000303311	0.000104443	0.000287199	5.30174e-05	0.000737629	0.000324927	0.0	0.0	5.6396e-05	0.000149148	0.000152975	0.0	0.00211664	0.000554908	0.000453334	0.000271581	0.000482905	0.0	0.0	0.0	0.000223437	0.000234848	9.31521e-05	0.0	0.000296599	0.00180922	0.000134983	0.0011955	0.000700598	8.27156e-05	0.000428315	7.04243e-05	0.000117912	0.0	0.00183588	0.000121697	0.0	0.000172458	0.00125697	0.00100136	0.000609029	0.00069927	0.00147316	0.000417341	0.000937246	0.00102354	0.000301877	0.00224192	0.00261762	0.000233356	0.0020974	0.000789674	0.000270776	0.000587561	7.6867e-05	0.00191332	0.00198682	0.00084628	0.000179755	0.000981912	0.00160497	0.000951667	0.000753388	0.000438848	0.00149224
PWY-6285: superpathway of fatty acids biosynthesis (E. coli)	0.000932173	0.0	0.000788218	0.000755751	0.000326139	0.0	0.000875445	0.000779239	0.00357221	0.0010581	0.0005809	0.000946776	0.000457542	0.0016689	0.00213689	0.000548752	0.00127155	0.0	0.00251199	0.000281205	0.000660085	0.000880391	0.000477968	0.000999215	0.000241176	0.00126152	0.0004716	0.000509539	0.0	0.000552235	0.000269658	0.00049961	0.000692284	0.000536072	0.000187348	0.000117585	0.0	0.00026514	0.0	0.000484696	0.0	0.0	0.000217039	0.000244014	0.000685804	0.000355737	0.0	0.000108131	0.000229181	0.000885587	0.000953169	5.46115e-05	0.000236021	0.0	0.000869561	0.000329766	0.0	0.0	0.0	0.0	0.00136689	0.000371096	0.000990855	0.000463399	0.00135768	0.00140252	0.00105981	0.0021196	0.00102687	0.000430907	0.000630614	0.000443455	0.00145904	0.000835875	0.00341645	0.000251126	0.000795062	0.00118331	0.00318885	0.0	0.0	0.000525206	0.000541487	0.0	0.0	0.000560472	0.000539772	0.000583717	0.0018309	0.0	0.000458412	0.0	0.000284604	0.00322218	0.000874993	0.000359096	0.00181179	0.00262888	0.000154803	0.000574469	0.0	0.0	0.00138739	0.000249621	0.000641395	0.0	0.000472188	0.000394336	0.00035669	0.00312386	0.000990966	0.000486944	0.000598543	0.000290949	0.00203417	0.00158996	0.000725023	0.000664149	0.0	0.00176123	0.00214705	0.000422305	0.00246915	0.00043734	0.00153941	0.000432816	0.000793462	0.0	0.000558011	0.000138324	0.000544422	0.0	0.000488592	0.0	0.0	0.0	0.0	0.0	0.000265558	0.0	0.00291632	0.000459594	0.000548975	0.000515475	0.000830103	0.0	0.0	0.0	0.000424602	0.000281579	0.0	0.0	0.00054941	0.00268182	0.0	0.00166786	0.00103218	0.000143106	0.000806997	0.0	0.000226612	0.0	0.00274292	0.000238639	0.0	0.0	0.00200444	0.00159315	0.00107931	0.00122289	0.00219722	0.000746608	0.000831652	0.0016568	0.000442214	0.00304884	0.00331512	0.000425575	0.00298926	0.00139847	0.0	0.00103199	0.000147441	0.00253238	0.00286418	0.000972054	0.000241982	0.00140079	0.00249405	0.000584432	0.00120358	0.000768983	0.00226553
